"","occupation","prob_computerization","tot_employed","women","black","asian","hisp_latino"
"102","Editors",0.054636,167,"52.4","1.9","6.6","6.0"
"103","Technical Writers",0.88834,61,"55.7","7.8","4.1","7.8"
"104","Writers and Authors",0.038364,229,"62.8","3.4","2.5","5.6"
"105","Photographers",0.021366,205,"47.7","5.7","5.7","8.4"
"106","Chiropractors",0.027286,51,"27.4","1.7","4.6","9.8"
"107","Dietitians and Nutritionists",0.0038942,120,"89.4","15.9","6.1","4.9"
"108","Optometrists",0.13727,36,"Ð","Ð","Ð","Ð"
"109","Pharmacists",0.011528,306,"59.9","10.1","18.1","4.6"
"110","Physicians and Surgeons",0.0041564,1061,"38.2","7.5","19.3","5.9"
"111","Physician Assistants",0.14484,92,"70.0","3.2","11.5","6.0"
"112","Podiatrists",0.0046499,12,"Ð","Ð","Ð","Ð"
"113","Occupational Therapists",0.0034815,118,"89.2","7.5","8.2","6.3"
"114","Physical Therapists",0.021226,290,"69.3","5.2","9.5","5.3"
"115","Radiation Therapists",0.34413,13,"Ð","Ð","Ð","Ð"
"116","Recreational Therapists",0.0027508,11,"Ð","Ð","Ð","Ð"
"117","Respiratory Therapists",0.066298,84,"73.5","8.5","5.2","8.7"
"118","Speech-Language Pathologists",0.0063625,162,"97.5","2.9","3.2","9.0"
"119","Veterinarians",0.037573,101,"63.2","2.1","3.7","0.3"
"120","Audiologists",0.0032593,15,"Ð","Ð","Ð","Ð"
"121","Health Diagnosing and Treating Practitioners All Other",0.020303,32,"Ð","Ð","Ð","Ð"
"122","Dental Hygienists",0.68482,169,"97.1","5.2","2.7","9.2"
"123","Emergency Medical Technicians and Paramedics",0.04894,194,"35.7","12.4","2.3","12.1"
"124","Licensed Practical and Licensed Vocational Nurses",0.057824,653,"90.0","30.3","4.2","10.1"
"125","Medical Records and Health Information Technicians",0.91004,184,"92.1","10.7","5.3","6.4"
"126","Opticians Dispensing",0.71059,55,"69.7","7.3","2.2","11.6"
"127","Massage Therapists",0.54141,170,"80.7","6.8","7.7","9.6"
"128","Dental Assistants",0.51441,294,"93.3","11.4","6.5","24.1"
"129","Medical Assistants",0.3003,570,"92.9","14.3","4.1","28.6"
"130","Medical Transcriptionists",0.88815,39,"Ð","Ð","Ð","Ð"
"131","Pharmacy Aides",0.71686,36,"Ð","Ð","Ð","Ð"
"132","Veterinary Assistants and Laboratory Animal Caretakers",0.86297,39,"Ð","Ð","Ð","Ð"
"133","First-Line Supervisors of Correctional Officers",0.024592,61,"34.0","23.3","2.6","17.3"
"134","First-Line Supervisors of Police and Detectives",0.0043771,114,"18.3","12.3","0.2","10.6"
"135","First-Line Supervisors of Fire Fighting and Prevention Workers",0.0035813,44,"Ð","Ð","Ð","Ð"
"136","Firefighters",0.16869,252,"3.5","6.8","1.4","7.7"
"137","Fire Inspectors and Investigators",0.47637,27,"Ð","Ð","Ð","Ð"
"138","Detectives and Criminal Investigators",0.33592,130,"23.6","6.9","4.0","7.6"
"139","Fish and Game Wardens",0.080158,9,"Ð","Ð","Ð","Ð"
"140","Parking Enforcement Workers",0.84498,8,"Ð","Ð","Ð","Ð"
"141","Police and Sheriff's Patrol Officers",0.097575,708,"14.1","12.0","2.7","16.0"
"142","Transit and Railroad Police",0.5694,2,"Ð","Ð","Ð","Ð"
"143","Animal Control Workers",0.21049,9,"Ð","Ð","Ð","Ð"
"144","Private Detectives and Investigators",0.30895,94,"44.0","11.5","4.5","6.7"
"145","Crossing Guards",0.48599,72,"60.4","26.4","1.5","15.5"
"146","Chefs and Head Cooks",0.10071,460,"21.4","14.7","11.6","23.0"
"147","First-Line Supervisors of Food Preparation and Serving Workers",0.63179,543,"57.7","15.5","5.3","17.6"
"148","Food Preparation Workers",0.87163,1000,"58.2","14.9","6.7","29.3"
"149","Bartenders",0.7682,454,"56.1","7.4","2.5","17.0"
"150","Combined Food Preparation and Serving Workers Including Fast Food",0.92427,420,"63.5","18.0","3.3","20.2"
"151","Counter Attendants Cafeteria Food Concession and Coffee Shop",0.95684,214,"67.2","11.4","5.7","18.0"
"152","Waiters and Waitresses",0.93714,2085,"70.0","9.4","6.6","20.9"
"153","Food Servers Nonrestaurant",0.8613,213,"71.3","16.3","5.7","22.5"
"154","Dining Room and Cafeteria Attendants and Bartender Helpers",0.91188,331,"42.9","15.3","6.4","27.8"
"155","Dishwashers",0.76952,319,"18.0","16.3","5.9","35.4"
"156","Hosts and Hostesses Restaurant Lounge and Coffee Shop",0.97476,319,"80.8","8.8","3.8","16.3"
"157","First-Line Supervisors of Housekeeping and Janitorial Workers",0.94439,323,"39.9","16.0","1.2","28.4"
"158","First-Line Supervisors of Landscaping Lawn Service and Groundskeeping Workers",0.57173,231,"4.6","5.1","1.0","24.6"
"159","Maids and Housekeeping Cleaners",0.68793,1485,"89.6","17.3","4.2","47.3"
"160","Pest Control Workers",0.6603,79,"2.6","6.2","0.2","14.6"
"161","First-Line Supervisors of Personal Service Workers",0.075515,191,"70.5","9.2","15.5","10.6"
"162","Animal Trainers",0.10152,61,"47.3","1.2","1.3","11.7"
"163","Nonfarm Animal Caretakers",0.81797,233,"76.9","4.7","2.4","11.7"
"164","Motion Picture Projectionists",0.97123,6,"Ð","Ð","Ð","Ð"
"165","Ushers Lobby Attendants and Ticket Takers",0.96357,40,"Ð","Ð","Ð","Ð"
"166","Barbers",0.79731,126,"11.7","39.9","3.3","19.6"
"167","Hairdressers Hairstylists and Cosmetologists",0.10715,806,"92.4","12.4","5.2","16.5"
"168","Childcare Workers",0.084206,1280,"94.4","17.1","2.8","20.9"
"169","Personal Care Aides",0.73599,1396,"84.9","24.4","10.2","20.6"
"170","Residential Advisors",0.06388,42,"Ð","Ð","Ð","Ð"
"171","First-Line Supervisors of Retail Sales Workers",0.27918,3282,"44.1","8.9","6.1","14.7"
"172","First-Line Supervisors of Non-Retail Sales Workers",0.075117,1180,"26.8","6.8","6.7","13.6"
"173","Cashiers",0.97052,3260,"73.2","17.8","7.2","20.7"
"174","Counter and Rental Clerks",0.97227,105,"46.6","14.0","3.2","22.6"
"175","Parts Salespersons",0.97843,117,"13.8","7.5","3.1","17.9"
"176","Retail Salespersons",0.92314,3312,"48.4","12.3","5.3","18.2"
"177","Advertising Sales Agents",0.5418,222,"45.5","12.0","4.0","11.7"
"178","Insurance Sales Agents",0.91901,630,"46.5","11.0","4.6","11.7"
"179","Securities Commodities and Financial Services Sales Agents",0.015762,263,"30.4","7.1","7.2","8.9"
"180","Travel Agents",0.099176,83,"84.7","2.6","10.3","11.3"
"181","Sales Engineers",0.0041398,43,"Ð","Ð","Ð","Ð"
"182","Telemarketers",0.99024,61,"64.0","34.9","4.8","19.7"
"183","Door-to-Door Sales Workers News and Street Vendors and Related Workers",0.94354,160,"62.5","9.1","3.4","22.3"
"184","First-Line Supervisors of Office and Administrative Support Workers",0.014467,1352,"68.5","11.1","4.6","13.6"
"185","Switchboard Operators Including Answering Service",0.9561,25,"Ð","Ð","Ð","Ð"
"186","Telephone Operators",0.97317,41,"Ð","Ð","Ð","Ð"
"187","Bill and Account Collectors",0.94669,152,"67.4","25.1","2.0","19.3"
"188","Billing and Posting Clerks",0.96482,452,"89.0","14.0","4.6","15.8"
"189","Bookkeeping Accounting and Auditing Clerks",0.97607,1137,"88.5","7.7","4.9","11.9"
"190","Gaming Cage Workers",0.38911,12,"Ð","Ð","Ð","Ð"
"191","Payroll and Timekeeping Clerks",0.97443,129,"90.7","10.4","8.1","13.2"
"192","Procurement Clerks",0.97951,27,"Ð","Ð","Ð","Ð"
"193","Tellers",0.98276,342,"81.7","12.5","5.3","17.5"
"194","Brokerage Clerks",0.98393,3,"Ð","Ð","Ð","Ð"
"195","Correspondence Clerks",0.86488,7,"Ð","Ð","Ð","Ð"
"196","Court Municipal and License Clerks",0.45526,80,"71.1","18.9","2.4","19.6"
"197","Credit Authorizers Checkers and Clerks",0.97451,44,"Ð","Ð","Ð","Ð"
"198","Customer Service Representatives",0.55149,2388,"65.0","16.9","4.5","18.3"
"199","Eligibility Interviewers Government Programs",0.69552,77,"75.2","27.6","6.6","19.4"
"200","File Clerks",0.97269,183,"82.7","21.2","5.7","11.6"
"201","Hotel Motel and Resort Desk Clerks",0.94317,138,"66.1","17.2","9.7","21.5"
"202","Interviewers Except Eligibility and Loan",0.9418,152,"88.1","20.7","5.2","11.6"
"203","Library Assistants Clerical",0.94853,87,"86.2","12.5","1.4","10.5"
"204","Loan Interviewers and Clerks",0.91861,132,"79.0","10.8","5.4","13.8"
"205","New Accounts Clerks",0.98669,24,"Ð","Ð","Ð","Ð"
"206","Order Clerks",0.98372,105,"57.3","8.1","4.1","21.5"
"207","Human Resources Assistants Except Payroll and Timekeeping",0.8969,42,"Ð","Ð","Ð","Ð"
"208","Receptionists and Information Clerks",0.95556,1331,"90.1","13.0","3.7","18.4"
"209","Reservation and Transportation Ticket Agents and Travel Clerks",0.61347,144,"55.1","24.8","8.2","20.0"
"210","Cargo and Freight Agents",0.98715,27,"Ð","Ð","Ð","Ð"
"211","Couriers and Messengers",0.94141,227,"18.4","22.1","6.0","19.3"
"212","Meter Readers Utilities",0.84989,31,"Ð","Ð","Ð","Ð"
"213","Postal Service Clerks",0.95405,121,"53.7","23.9","12.1","8.7"
"214","Postal Service Mail Carriers",0.67514,320,"38.9","18.6","8.3","12.3"
"215","Postal Service Mail Sorters Processors and Processing Machine Operators",0.78504,60,"42.4","34.3","7.5","9.7"
"216","Production Planning and Expediting Clerks",0.87759,245,"51.5","8.6","4.2","9.1"
"217","Shipping Receiving and Traffic Clerks",0.97857,546,"33.9","16.1","2.2","21.7"
"218","Stock Clerks and Order Fillers",0.64019,1530,"37.0","18.8","4.8","19.5"
"219","Weighers Measurers Checkers and Samplers Recordkeeping",0.94597,51,"52.0","17.8","1.7","19.2"
"220","Computer Operators",0.77756,91,"50.8","13.8","4.1","14.3"
"221","Data Entry Keyers",0.98505,272,"77.6","13.4","9.1","20.9"
"222","Word Processors and Typists",0.80623,82,"88.9","14.3","4.1","11.2"
"223","Desktop Publishers",0.15929,0,"Ð","Ð","Ð","Ð"
"224","Insurance Claims and Policy Processing Clerks",0.98448,273,"85.2","17.9","6.7","11.4"
"225","Mail Clerks and Mail Machine Operators Except Postal Service",0.93625,77,"43.5","21.7","1.0","21.2"
"226","Office Clerks General",0.95558,1295,"82.8","14.6","6.9","16.9"
"227","Office Machine Operators Except Computer",0.91672,35,"Ð","Ð","Ð","Ð"
"228","Proofreaders and Copy Markers",0.84443,12,"Ð","Ð","Ð","Ð"
"229","Statistical Assistants",0.66227,9,"Ð","Ð","Ð","Ð"
"230","First-Line Supervisors of Farming Fishing and Forestry Workers",0.56511,48,"Ð","Ð","Ð","Ð"
"231","Agricultural Inspectors",0.94451,19,"Ð","Ð","Ð","Ð"
"232","Animal Breeders",0.95116,7,"Ð","Ð","Ð","Ð"
"233","Graders and Sorters Agricultural Products",0.40681,85,"65.5","20.4","6.3","40.7"
"234","Fishers and Related Fishing Workers",0.82533,29,"Ð","Ð","Ð","Ð"
"235","Forest and Conservation Workers",0.86745,21,"Ð","Ð","Ð","Ð"
"236","First-Line Supervisors of Construction Trades and Extraction Workers",0.17336,680,"2.6","5.5","1.5","22.5"
"237","Boilermakers",0.67975,23,"Ð","Ð","Ð","Ð"
"238","Carpenters",0.72398,1359,"2.1","5.4","1.2","33.9"
"239","Construction Laborers",0.87676,1801,"3.5","8.1","2.2","45.5"
"240","Paving Surfacing and Tamping Equipment Operators",0.83469,13,"Ð","Ð","Ð","Ð"
"241","Pile-Driver Operators",0.81952,2,"Ð","Ð","Ð","Ð"
"242","Operating Engineers and Other Construction Equipment Operators",0.94921,351,"2.3","8.7","0.2","19.3"
"243","Electricians",0.14768,774,"3.0","5.9","3.1","16.8"
"244","Glaziers",0.72841,54,"1.4","5.0","0.0","21.2"
"245","Painters Construction and Maintenance",0.74916,612,"6.2","5.7","3.6","50.7"
"246","Paperhangers",0.86958,4,"Ð","Ð","Ð","Ð"
"247","Plasterers and Stucco Masons",0.83662,34,"Ð","Ð","Ð","Ð"
"248","Reinforcing Iron and Rebar Workers",0.89724,12,"Ð","Ð","Ð","Ð"
"249","Roofers",0.89738,230,"1.7","4.9","1.1","51.7"
"250","Sheet Metal Workers",0.81802,126,"2.9","6.7","2.1","16.7"
"251","Structural Iron and Steel Workers",0.8254,60,"2.0","10.7","1.9","10.8"
"252","Construction and Building Inspectors",0.63316,93,"6.4","11.8","2.4","9.9"
"253","Elevator Installers and Repairers",0.38798,44,"Ð","Ð","Ð","Ð"
"254","Fence Erectors",0.92167,43,"Ð","Ð","Ð","Ð"
"255","Hazardous Materials Removal Workers",0.53472,34,"Ð","Ð","Ð","Ð"
"256","Highway Maintenance Workers",0.87427,92,"3.2","9.6","0.2","15.1"
"257","Rail-Track Laying and Maintenance Equipment Operators",0.89098,10,"Ð","Ð","Ð","Ð"
"258","Septic Tank Servicers and Sewer Pipe Cleaners",0.83111,10,"Ð","Ð","Ð","Ð"
