occupation,tot_employed,women,black,asian,hisp_latino
Food cooking machine operators and tenders,10,Ð,Ð,Ð,Ð
"Food processing workers, all other",138,37.4,23.3,7.4,35.3
Computer control programmers and operators,87,5.2,6.3,4.3,12.3
"Extruding and drawing machine setters, operators, and tenders, metal and plastic",13,Ð,Ð,Ð,Ð
"Forging machine setters, operators, and tenders, metal and plastic",5,Ð,Ð,Ð,Ð
"Rolling machine setters, operators, and tenders, metal and plastic",13,Ð,Ð,Ð,Ð
"Cutting, punching, and press machine setters, operators, and tenders, metal and plastic",83,18.3,5.8,0.6,22.3
"Drilling and boring machine tool setters, operators, and tenders, metal	and plastic",8,Ð,Ð,Ð,Ð
"Grinding, lapping, polishing, and buffing machine tool setters, operators, and tenders, metal and plastic",48,Ð,Ð,Ð,Ð
"Lathe and turning machine tool setters, operators, and tenders, metal and plastic",14,Ð,Ð,Ð,Ð
"Milling and planing machine setters, operators, and tenders, metal and plastic",6,Ð,Ð,Ð,Ð
Machinists,356,3.4,5.4,6.8,13.0
"Metal furnace operators, tenders, pourers, and casters",31,Ð,Ð,Ð,Ð
"Model makers and patternmakers, metal and plastic",4,Ð,Ð,Ð,Ð
"Molders and molding machine setters, operators, and tenders, metal and plastic",33,Ð,Ð,Ð,Ð
"Multiple machine tool setters, operators, and tenders, metal and plastic",3,Ð,Ð,Ð,Ð
Tool and die makers,50,3.0,2.4,0.0,12.3
"Welding, soldering, and brazing workers",603,4.1,10.0,2.8,23.6
"Heat treating equipment setters, operators, and tenders, metal and plastic",3,Ð,Ð,Ð,Ð
"Layout workers, metal and plastic",7,Ð,Ð,Ð,Ð
"Plating and coating machine setters, operators, and tenders, metal and plastic",20,Ð,Ð,Ð,Ð
"Tool grinders, filers, and sharpeners",5,Ð,Ð,Ð,Ð
"Metal workers and plastic workers, all other",379,20.0,15.3,7.3,22.1
Prepress technicians and workers,22,Ð,Ð,Ð,Ð
Printing press operators,205,20.3,6.7,4.7,15.9
Print binding and finishing workers,14,Ð,Ð,Ð,Ð
Laundry and dry-cleaning workers,188,58.1,21.4,7.9,34.0
"Pressers, textile, garment, and related materials",36,Ð,Ð,Ð,Ð
Sewing machine operators,208,71.5,8.0,12.1,46.9
Shoe and leather workers and repairers,8,Ð,Ð,Ð,Ð
Shoe machine operators and tenders,2,Ð,Ð,Ð,Ð
"Tailors, dressmakers, and sewers",79,79.7,7.8,22.6,19.3
Textile bleaching and dyeing machine operators and tenders,2,Ð,Ð,Ð,Ð
"Textile cutting machine setters, operators, and tenders",9,Ð,Ð,Ð,Ð
"Textile knitting and weaving machine setters, operators, and tenders",13,Ð,Ð,Ð,Ð
"Textile winding, twisting, and drawing out machine setters, operators, and tenders",11,Ð,Ð,Ð,Ð
"Extruding and forming machine setters, operators, and tenders, synthetic and glass fibers",0,Ð,Ð,Ð,Ð
Fabric and apparel patternmakers,1,Ð,Ð,Ð,Ð
Upholsterers,36,Ð,Ð,Ð,Ð
"Textile, apparel, and furnishings workers, all other",20,Ð,Ð,Ð,Ð
Cabinetmakers and bench carpenters,56,11.9,6.7,0.0,15.7
Furniture finishers,19,Ð,Ð,Ð,Ð
"Model makers and patternmakers, wood",0,Ð,Ð,Ð,Ð
"Sawing machine setters, operators, and tenders, wood",35,Ð,Ð,Ð,Ð
"Woodworking machine setters, operators, and tenders, except sawing",23,Ð,Ð,Ð,Ð
"Woodworkers, all other",34,Ð,Ð,Ð,Ð
"Power plant operators, distributors, and dispatchers",44,Ð,Ð,Ð,Ð
Stationary engineers and boiler operators,78,4.7,9.6,5.0,14.1
Water and wastewater treatment plant and system operators,77,5.2,13.9,2.1,6.8
Miscellaneous plant and system operators,38,Ð,Ð,Ð,Ð
"Chemical processing machine setters, operators, and tenders",54,10.2,3.7,1.5,15.8
"Crushing, grinding, polishing, mixing, and blending workers",94,11.9,12.2,1.5,35.3
Cutting workers,67,22.3,7.2,4.1,37.2
"Extruding, forming, pressing, and compacting machine setters, operators, and tenders",29,Ð,Ð,Ð,Ð
"Furnace, kiln, oven, drier, and kettle operators and tenders",16,Ð,Ð,Ð,Ð
"Inspectors, testers, sorters, samplers, and weighers",734,37.9,12.8,7.4,17.7
Jewelers and precious stone and metal workers,40,Ð,Ð,Ð,Ð
"Medical, dental, and ophthalmic laboratory technicians",85,51.4,8.4,11.8,11.3
Packaging and filling machine operators and tenders,236,50.5,16.1,6.2,43.1
Painting workers,173,8.9,8.8,1.8,28.4
Photographic process workers and processing machine operators,29,Ð,Ð,Ð,Ð
Semiconductor processors,2,Ð,Ð,Ð,Ð
Adhesive bonding machine operators and tenders,11,Ð,Ð,Ð,Ð
"Cleaning, washing, and metal pickling equipment operators and tenders",3,Ð,Ð,Ð,Ð
Cooling and freezing equipment operators and tenders,0,Ð,Ð,Ð,Ð
Etchers and engravers,6,Ð,Ð,Ð,Ð
"Molders, shapers, and casters, except metal and plastic",24,Ð,Ð,Ð,Ð
"Paper goods machine setters, operators, and tenders",33,Ð,Ð,Ð,Ð
Tire builders,10,Ð,Ð,Ð,Ð
Helpers--production workers,40,Ð,Ð,Ð,Ð
"Production workers, all other",968,29.4,17.1,5.4,22.1
Transportation and material moving occupations,"9,284",16.5,18.4,3.8,22.1
Supervisors of transportation and material moving workers,190,21.4,13.4,3.2,21.2
Aircraft pilots and flight engineers,141,5.2,3.0,0.5,7.7
Air traffic controllers and airfield operations specialists,26,Ð,Ð,Ð,Ð
Flight attendants,93,75.8,13.7,6.4,16.1
"Ambulance drivers and attendants, except emergency medical technicians",19,Ð,Ð,Ð,Ð
Bus drivers,553,48.7,29.4,3.3,11.8
Driver/sales workers and truck drivers,"3,542",6.0,14.8,2.6,21.3
Taxi drivers and chauffeurs,500,14.3,28.7,16.0,12.6
"Motor vehicle operators, all other",63,8.8,13.7,2.3,14.6
Locomotive engineers and operators,52,3.2,20.8,0.6,7.8
"Railroad brake, signal, and switch operators",2,Ð,Ð,Ð,Ð
Railroad conductors and yardmasters,55,4.7,21.3,4.3,6.0
"Subway, streetcar, and other rail transportation workers",15,Ð,Ð,Ð,Ð
Sailors and marine oilers,16,Ð,Ð,Ð,Ð
Ship and boat captains and operators,31,Ð,Ð,Ð,Ð
Ship engineers,4,Ð,Ð,Ð,Ð
Bridge and lock tenders,2,Ð,Ð,Ð,Ð
Parking lot attendants,89,10.7,24.3,7.3,28.5
Automotive and watercraft service attendants,97,8.6,9.9,6.4,18.1
Transportation inspectors,26,Ð,Ð,Ð,Ð
"Transportation attendants, except flight attendants",41,Ð,Ð,Ð,Ð
Other transportation workers,34,Ð,Ð,Ð,Ð
Conveyor operators and tenders,3,Ð,Ð,Ð,Ð
Crane and tower operators,63,0.8,13.0,0.5,13.7
"Dredge, excavating, and loading machine operators",37,Ð,Ð,Ð,Ð
Hoist and winch operators,9,Ð,Ð,Ð,Ð
Industrial truck and tractor operators,605,9.6,26.0,2.3,28.0
Cleaners of vehicles and equipment,328,13.0,18.0,2.5,29.4
"Laborers and freight, stock, and material movers, hand","1,900",18.1,19.9,3.2,23.4
Machine feeders and offbearers,30,Ð,Ð,Ð,Ð
"Packers and packagers, hand",550,54.5,18.9,7.1,43.6
Pumping station operators,16,Ð,Ð,Ð,Ð
Refuse and recyclable material collectors,101,8.6,16.4,0.5,23.5
Mine shuttle car operators,0,Ð,Ð,Ð,Ð
"Tank car, truck, and ship loaders",4,Ð,Ð,Ð,Ð
"Material moving workers, all other",45,Ð,Ð,Ð,Ð
,,,,,
,,,,,
