occupation,tot_employed,women,black,asian,hisp_latino
Survey researchers,3,Ð,Ð,Ð,Ð
Psychologists,161,67.5,5.8,4.2,6.9
Sociologists,3,Ð,Ð,Ð,Ð
Urban and regional planners,38,Ð,Ð,Ð,Ð
Miscellaneous social scientists and related workers,39,Ð,Ð,Ð,Ð
Agricultural and food science technicians,35,Ð,Ð,Ð,Ð
Biological technicians,17,Ð,Ð,Ð,Ð
Chemical technicians,76,34.6,14.9,8.2,12.9
Geological and petroleum technicians,18,Ð,Ð,Ð,Ð
Nuclear technicians,5,Ð,Ð,Ð,Ð
Social science research assistants,2,Ð,Ð,Ð,Ð
"Miscellaneous life, physical, and social science technicians",155,51.0,8.0,13.0,11.6
Community and social service occupations,"2,612",65.5,18.6,3.4,12.1
Counselors,869,73.0,19.6,2.7,11.6
Social workers,781,81.5,22.7,3.0,13.8
Probation officers and correctional treatment specialists,102,57.4,21.0,1.3,14.3
Social and human service assistants,184,80.5,21.6,2.6,14.1
"Miscellaneous community and social service specialists, including health educators and community health workers",89,74.9,20.4,2.5,16.1
Clergy,436,17.6,11.8,5.9,9.1
"Directors, religious activities and education",78,55.0,3.1,4.2,9.9
"Religious workers, all other",73,64.4,7.4,7.9,8.0
Legal occupations,"1,808",51.8,6.3,4.1,8.4
Lawyers,"1,133",35.7,4.4,4.7,5.6
Judicial law clerks,15,Ð,Ð,Ð,Ð
"Judges, magistrates, and other judicial workers",59,34.2,11.0,1.2,3.5
Paralegals and legal assistants,433,86.7,10.2,3.5,16.2
Miscellaneous legal support workers,168,77.0,8.4,1.9,8.7
"Education, training, and library occupations","8,948",73.1,10.0,4.7,10.0
Postsecondary teachers,"1,420",48.3,7.0,12.3,6.9
Preschool and kindergarten teachers,692,97.5,12.5,3.4,13.3
Elementary and middle school teachers,"3,186",78.5,10.3,2.4,9.8
Secondary school teachers,"1,078",60.5,8.0,2.0,7.9
Special education teachers,353,85.2,8.6,2.2,6.5
Other teachers and instructors,868,65.3,10.3,7.2,10.6
"Archivists, curators, and museum technicians",43,Ð,Ð,Ð,Ð
Librarians,190,83.8,7.5,5.8,7.1
Library technicians,37,Ð,Ð,Ð,Ð
Teacher assistants,950,89.3,14.8,3.4,17.3
"Other education, training, and library workers",132,71.4,12.2,6.3,9.7
"Arts, design, entertainment, sports, and media occupations","3,097",48.5,6.6,5.5,10.6
Artists and related workers,232,56.6,3.6,3.6,9.9
Designers,878,54.8,5.1,8.4,10.6
Actors,47,Ð,Ð,Ð,Ð
Producers and directors,173,38.5,3.6,4.6,6.3
"Athletes, coaches, umpires, and related workers",312,34.2,8.4,2.2,11.7
Dancers and choreographers,17,Ð,Ð,Ð,Ð
"Musicians, singers, and related workers",192,40.4,14.6,3.7,9.3
"Entertainers and performers, sports and related workers, all other",49,Ð,Ð,Ð,Ð
Announcers,59,20.9,16.6,4.0,20.7
"News analysts, reporters and correspondents",73,48.8,3.6,9.6,10.5
Public relations specialists,121,58.9,8.2,1.7,7.3
Editors,167,52.4,1.9,6.6,6.0
Technical writers,61,55.7,7.8,4.1,7.8
Writers and authors,229,62.8,3.4,2.5,5.6
Miscellaneous media and communication workers,116,68.7,11.3,13.0,37.8
Broadcast and sound engineering technicians and radio operators,111,15.2,13.1,2.4,12.1
Photographers,205,47.7,5.7,5.7,8.4
"Television, video, and motion picture camera operators and editors",54,21.4,3.1,3.8,11.4
"Media and communication equipment workers, all other",1,Ð,Ð,Ð,Ð
Healthcare practitioners and technical occupations,"8,960",75.6,11.8,9.6,7.8
Chiropractors,51,27.4,1.7,4.6,9.8
Dentists,163,34.4,3.2,20.2,9.5
Dietitians and nutritionists,120,89.4,15.9,6.1,4.9
Optometrists,36,Ð,Ð,Ð,Ð
Pharmacists,306,59.9,10.1,18.1,4.6
Physicians and surgeons,"1,061",38.2,7.5,19.3,5.9
Physician assistants,92,70.0,3.2,11.5,6.0
Podiatrists,12,Ð,Ð,Ð,Ð
Audiologists,15,Ð,Ð,Ð,Ð
Occupational therapists,118,89.2,7.5,8.2,6.3
Physical therapists,290,69.3,5.2,9.5,5.3
Radiation therapists,13,Ð,Ð,Ð,Ð
Recreational therapists,11,Ð,Ð,Ð,Ð
Respiratory therapists,84,73.5,8.5,5.2,8.7
Speech-language pathologists,162,97.5,2.9,3.2,9.0
Exercise physiologists,2,Ð,Ð,Ð,Ð
"Therapists, all other",205,82.6,9.2,6.1,15.7
Veterinarians,101,63.2,2.1,3.7,0.3
Registered nurses,"3,102",90.0,11.9,9.0,6.6
Nurse anesthetists,23,Ð,Ð,Ð,Ð
Nurse midwives,6,Ð,Ð,Ð,Ð
Nurse practitioners,176,94.0,8.5,6.2,3.5
"Health diagnosing and treating practitioners, all other",32,Ð,Ð,Ð,Ð
Clinical laboratory technologists and technicians,361,68.5,16.5,10.6,13.0
Dental hygienists,169,97.1,5.2,2.7,9.2
Diagnostic related technologists and technicians,311,73.0,9.8,5.4,8.8
Emergency medical technicians and paramedics,194,35.7,12.4,2.3,12.1
Health practitioner support technologists and technicians,610,79.5,12.7,8.8,12.2
Licensed practical and licensed vocational nurses,653,90.0,30.3,4.2,10.1
Medical records and health information technicians,184,92.1,10.7,5.3,6.4
"Opticians, dispensing",55,69.7,7.3,2.2,11.6
Miscellaneous health technologists and technicians,130,65.6,24.3,11.9,9.7
Other healthcare practitioners and technical occupations,114,51.7,13.5,3.4,11.9
,,,,,
Service occupations,"26,811",56.6,16.8,5.5,23.9
Healthcare support occupations,"3,554",87.7,27.3,5.5,16.9
"Nursing, psychiatric, and home health aides","2,058",88.1,37.5,5.8,14.6
Occupational therapy assistants and aides,20,Ð,Ð,Ð,Ð
Physical therapist assistants and aides,70,69.4,6.4,6.3,10.4
Massage therapists,170,80.7,6.8,7.7,9.6
Dental assistants,294,93.3,11.4,6.5,24.1
Medical assistants,570,92.9,14.3,4.1,28.6
Medical transcriptionists,39,Ð,Ð,Ð,Ð
Pharmacy aides,36,Ð,Ð,Ð,Ð
Veterinary assistants and laboratory animal caretakers,39,Ð,Ð,Ð,Ð
Phlebotomists,101,86.5,22.0,3.6,16.2
"Miscellaneous healthcare support occupations, including medical equipment preparers",156,73.9,26.0,4.0,7.9
Protective service occupations,"3,117",22.3,19.0,2.8,14.1
First-line supervisors of correctional officers,61,34.0,23.3,2.6,17.3
First-line supervisors of police and detectives,114,18.3,12.3,0.2,10.6
First-line supervisors of fire fighting and prevention workers,44,Ð,Ð,Ð,Ð
"First-line supervisors of protective service workers, all other",88,23.5,16.9,3.0,11.7
Firefighters,252,3.5,6.8,1.4,7.7
Fire inspectors,27,Ð,Ð,Ð,Ð
"Bailiffs, correctional officers, and jailers",383,28.2,25.5,1.9,12.9
Detectives and criminal investigators,130,23.6,6.9,4.0,7.6
Fish and game wardens,9,Ð,Ð,Ð,Ð
Parking enforcement workers,8,Ð,Ð,Ð,Ð
Police and sheriff's patrol officers,708,14.1,12.0,2.7,16.0
Transit and railroad police,2,Ð,Ð,Ð,Ð
Animal control workers,9,Ð,Ð,Ð,Ð
Private detectives and investigators,94,44.0,11.5,4.5,6.7
Security guards and gaming surveillance officers,923,22.0,30.4,4.0,17.6
Crossing guards,72,60.4,26.4,1.5,15.5
Transportation security screeners,44,Ð,Ð,Ð,Ð
"Lifeguards and other recreational, and all other protective service workers",149,44.2,8.7,1.2,11.4
Food preparation and serving related occupations,"8,542",53.5,13.8,5.8,25.8
Chefs and head cooks,460,21.4,14.7,11.6,23.0
First-line supervisors of food preparation and serving workers,543,57.7,15.5,5.3,17.6
Cooks,"2,179",38.7,17.3,4.8,35.0
Food preparation workers,"1,000",58.2,14.9,6.7,29.3
Bartenders,454,56.1,7.4,2.5,17.0
"Combined food preparation and serving workers, including fast food",420,63.5,18.0,3.3,20.2
"Counter attendants, cafeteria, food concession, and coffee shop",214,67.2,11.4,5.7,18.0
Waiters and waitresses,"2,085",70.0,9.4,6.6,20.9
"Food servers, nonrestaurant",213,71.3,16.3,5.7,22.5
Dining room and cafeteria attendants and bartender helpers,331,42.9,15.3,6.4,27.8
Dishwashers,319,18.0,16.3,5.9,35.4
"Hosts and hostesses, restaurant, lounge, and coffee shop",319,80.8,8.8,3.8,16.3
"Food preparation and serving related workers, all other",3,Ð,Ð,Ð,Ð
Building and grounds cleaning and maintenance occupations,"5,804",40.1,14.6,2.9,38.2
First-line supervisors of housekeeping and janitorial workers,323,39.9,16.0,1.2,28.4
"First-line supervisors of landscaping, lawn service, and groundskeeping workers",231,4.6,5.1,1.0,24.6
Janitors and building cleaners,"2,276",34.2,17.9,3.4,32.8
Maids and housekeeping cleaners,"1,485",89.6,17.3,4.2,47.3
Pest control workers,79,2.6,6.2,0.2,14.6
Grounds maintenance workers,"1,411",5.4,8.1,1.4,43.1
Personal care and service occupations,"5,795",77.3,15.9,9.3,16.3
First-line supervisors of gaming workers,206,46.4,4.8,4.1,11.6
First-line supervisors of personal service workers,191,70.5,9.2,15.5,10.6
Animal trainers,61,47.3,1.2,1.3,11.7
Nonfarm animal caretakers,233,76.9,4.7,2.4,11.7
Gaming services workers,92,47.9,8.0,28.2,9.8
Motion picture projectionists,6,Ð,Ð,Ð,Ð
"Ushers, lobby attendants, and ticket takers",40,Ð,Ð,Ð,Ð
Miscellaneous entertainment attendants and related workers,199,41.0,15.7,6.4,9.8
Embalmers and funeral attendants,12,Ð,Ð,Ð,Ð
"Morticians, undertakers, and funeral directors",40,Ð,Ð,Ð,Ð
Barbers,126,11.7,39.9,3.3,19.6
"Hairdressers, hairstylists, and cosmetologists",806,92.4,12.4,5.2,16.5
Miscellaneous personal appearance workers,364,86.1,9.5,57.8,9.2
"Baggage porters, bellhops, and concierges",66,17.5,18.4,8.1,31.8
Tour and travel guides,53,40.2,13.0,5.7,11.4
Childcare workers,"1,280",94.4,17.1,2.8,20.9
Personal care aides,"1,396",84.9,24.4,10.2,20.6
Recreation and fitness workers,440,62.2,10.0,1.0,7.8
Residential advisors,42,Ð,Ð,Ð,Ð
"Personal care and service workers, all other",142,56.5,14.4,4.4,12.6
,,,,,
Sales and office occupations,"33,539",61.2,12.6,5.2,15.6
Sales and related occupations,"15,848",49.0,11.0,5.7,15.7
First-line supervisors of retail sales workers,"3,282",44.1,8.9,6.1,14.7
First-line supervisors of non-retail sales workers,"1,180",26.8,6.8,6.7,13.6
Cashiers,"3,260",73.2,17.8,7.2,20.7
Counter and rental clerks,105,46.6,14.0,3.2,22.6
Parts salespersons,117,13.8,7.5,3.1,17.9
Retail salespersons,"3,312",48.4,12.3,5.3,18.2
Advertising sales agents,222,45.5,12.0,4.0,11.7
Insurance sales agents,630,46.5,11.0,4.6,11.7
"Securities, commodities, and financial services sales agents",263,30.4,7.1,7.2,8.9
Travel agents,83,84.7,2.6,10.3,11.3
"Sales representatives, services, all other",512,31.8,8.5,3.9,11.3
"Sales representatives, wholesale and manufacturing","1,308",29.1,4.8,4.3,10.7
"Models, demonstrators, and product promoters",59,67.4,9.6,3.0,9.3
Real estate brokers and sales agents,977,55.5,6.9,4.6,10.2
Sales engineers,43,Ð,Ð,Ð,Ð
Telemarketers,61,64.0,34.9,4.8,19.7
"Door-to-door sales workers, news and street vendors, and related workers",160,62.5,9.1,3.4,22.3
"Sales and related workers, all other",274,47.2,9.7,3.2,12.1
Office and administrative support occupations,"17,691",72.1,14.1,4.7,15.6
First-line supervisors of office and administrative support workers,"1,352",68.5,11.1,4.6,13.6
"Switchboard operators, including answering service",25,Ð,Ð,Ð,Ð
Telephone operators,41,Ð,Ð,Ð,Ð
"Communications equipment operators, all other",5,Ð,Ð,Ð,Ð
Bill and account collectors,152,67.4,25.1,2.0,19.3
Billing and posting clerks,452,89.0,14.0,4.6,15.8
"Bookkeeping, accounting, and auditing clerks","1,137",88.5,7.7,4.9,11.9
Gaming cage workers,12,Ð,Ð,Ð,Ð
Payroll and timekeeping clerks,129,90.7,10.4,8.1,13.2
Procurement clerks,27,Ð,Ð,Ð,Ð
Tellers,342,81.7,12.5,5.3,17.5
"Financial clerks, all other",69,63.9,14.6,9.1,14.2
Brokerage clerks,3,Ð,Ð,Ð,Ð
Correspondence clerks,7,Ð,Ð,Ð,Ð
"Court, municipal, and license clerks",80,71.1,18.9,2.4,19.6
"Credit authorizers, checkers, and clerks",44,Ð,Ð,Ð,Ð
Customer service representatives,"2,388",65.0,16.9,4.5,18.3
"Eligibility interviewers, government programs",77,75.2,27.6,6.6,19.4
File clerks,183,82.7,21.2,5.7,11.6
"Hotel, motel, and resort desk clerks",138,66.1,17.2,9.7,21.5
"Interviewers, except eligibility and loan",152,88.1,20.7,5.2,11.6
"Library assistants, clerical",87,86.2,12.5,1.4,10.5
Loan interviewers and clerks,132,79.0,10.8,5.4,13.8
New accounts clerks,24,Ð,Ð,Ð,Ð
Order clerks,105,57.3,8.1,4.1,21.5
"Human resources assistants, except payroll and timekeeping",42,Ð,Ð,Ð,Ð
Receptionists and information clerks,"1,331",90.1,13.0,3.7,18.4
Reservation and transportation ticket agents and travel clerks,144,55.1,24.8,8.2,20.0
"Information and record clerks, all other",118,71.9,19.8,3.6,7.9
Cargo and freight agents,27,Ð,Ð,Ð,Ð
Couriers and messengers,227,18.4,22.1,6.0,19.3
Dispatchers,292,55.7,12.8,3.1,16.6
"Meter readers, utilities",31,Ð,Ð,Ð,Ð
Postal service clerks,121,53.7,23.9,12.1,8.7
Postal service mail carriers,320,38.9,18.6,8.3,12.3
"Postal service mail sorters, processors, and processing machine operators",60,42.4,34.3,7.5,9.7
"Production, planning, and expediting clerks",245,51.5,8.6,4.2,9.1
"Shipping, receiving, and traffic clerks",546,33.9,16.1,2.2,21.7
Stock clerks and order fillers,"1,530",37.0,18.8,4.8,19.5
"Weighers, measurers, checkers, and samplers, recordkeeping",51,52.0,17.8,1.7,19.2
Secretaries and administrative assistants,"2,744",94.6,8.6,3.2,11.8
Computer operators,91,50.8,13.8,4.1,14.3
Data entry keyers,272,77.6,13.4,9.1,20.9
Word processors and typists,82,88.9,14.3,4.1,11.2
Desktop publishers,0,Ð,Ð,Ð,Ð
Insurance claims and policy processing clerks,273,85.2,17.9,6.7,11.4
"Mail clerks and mail machine operators, except postal service",77,43.5,21.7,1.0,21.2
"Office clerks, general","1,295",82.8,14.6,6.9,16.9
"Office machine operators, except computer",35,Ð,Ð,Ð,Ð
Proofreaders and copy markers,12,Ð,Ð,Ð,Ð
Statistical assistants,9,Ð,Ð,Ð,Ð
"Office and administrative support workers, all other",551,75.8,13.6,4.3,11.6
,,,,,
"Natural resources, construction, and maintenance occupations","13,904",4.7,7.3,2.2,29.6
"Farming, fishing, and forestry occupations","1,096",22.3,4.9,1.8,45.0
"First-line supervisors of farming, fishing, and forestry workers",48,Ð,Ð,Ð,Ð
Agricultural inspectors,19,Ð,Ð,Ð,Ð
Animal breeders,7,Ð,Ð,Ð,Ð
"Graders and sorters, agricultural products",85,65.5,20.4,6.3,40.7
