Topic,Subject,Title,District.03.Value,Proportion
People,Race,Total population,819626,1
People,Race,White,576314,0.703142653
People,Race,Black or African American,72287,0.088195104
People,Race,American Indian and Alaska Native,6211,0.007577846
People,Race,Asian,122456,0.149404728
People,Race,Native Hawaiian and Other Pacific Islander,741,0.000904071
People,Race,Some other race,18832,0.022976333
People,Race,Two or more races,22785,0.027799265
