Topic,Subject,Title,District.03.Value,Proportion
People,Place of Birth,Total population,819626,1
People,Place of Birth,Native,643763,0.785435064
People,Place of Birth,Born in United States,630066,0.768723784
People,Place of Birth,State of residence,341761,0.416971887
People,Place of Birth,Different state,288305,0.351751897
People,Place of Birth,"Born in Puerto Rico, U.S. Island areas, or born abroad to American parent(s)",13697,0.016711281
People,Place of Birth,Foreign born,175863,0.214564936
